2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration time -> org.hibernate.type.TimeType@4803b726
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@4803b726
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration timestamp -> org.hibernate.type.TimestampType@3e11f9e9
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@3e11f9e9
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@3e11f9e9
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@31fa1761
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration calendar -> org.hibernate.type.CalendarType@66f57048
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@66f57048
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@66f57048
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@36916eb0
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration locale -> org.hibernate.type.LocaleType@3cebbb30
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@3cebbb30
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration currency -> org.hibernate.type.CurrencyType@49049a04
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@49049a04
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@51e69659
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@51e69659
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration class -> org.hibernate.type.ClassType@54a7079e
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@54a7079e
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@1b11171f
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@1b11171f
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@4659191b
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration binary -> org.hibernate.type.BinaryType@d9345cd
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration byte[] -> org.hibernate.type.BinaryType@d9345cd
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration [B -> org.hibernate.type.BinaryType@d9345cd
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@6bd61f98
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@6bd61f98
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@6bd61f98
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration row_version -> org.hibernate.type.RowVersionType@7d4f9aae
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration image -> org.hibernate.type.ImageType@53aac487
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration characters -> org.hibernate.type.CharArrayType@272113c4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration char[] -> org.hibernate.type.CharArrayType@272113c4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration [C -> org.hibernate.type.CharArrayType@272113c4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@3f6f6701
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@3f6f6701
